Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
Like Nastya AE,24400000,12385924995,Entertainment,Like Nastya AE,658,United States,US,Entertainment,312,75,68,169865000,42500.0,679500.0,509600.0,8200000.0,400000,2018,Dec,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Amit Bhadana,24300000,2380248899,Entertainment,Amit Bhadana,17,Unknown,Unknown,People,4054185,0,7710,5,0.0,0.02,0.02,0.24,0,2009,Dec,31.0,0.0,0,0.0,0,,
Pen Movies,24300000,6608773195,Film & Animation,Pen Movies,1667,India,IN,Film,903,53,17,94853000,23700.0,379400.0,284600.0,4600000.0,300000,2014,Mar,25.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MrBeast en Espa,24200000,2700914170,Entertainment,MrBeast en Espa,67,Mexico,MX,Entertainment,3309,10,70,33590000,8400.0,134400.0,100800.0,1600000.0,100000,2021,Jul,9.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
shfa show India,24200000,15724160183,Unknown,shfa show India,469,United Arab Emirates,AE,People,203,3,9,151208000,37800.0,604800.0,453600.0,7300000.0,200000,2019,Apr,1.0,36.8,9770529,2.35,8479744,23.424076,53.847818
Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,Unknown,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117,77,15,328503000,82100.0,1300000.0,985500.0,15800000.0,100000,2019,May,31.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Alejo Igoa,24100000,10999000479,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376,4,71,401512000,100400.0,1600000.0,1200000.0,19300000.0,600000,2014,Jan,17.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Daniel LaBelle,24100000,12916159065,Comedy,Daniel LaBelle,287,Unknown,Unknown,Comedy,290,0,14,398765000,99700.0,1600000.0,1200000.0,19100000.0,700000,2009,Mar,11.0,0.0,0,0.0,0,,
netd m,24100000,56106087508,Music,netd m,23491,Turkey,TR,Music,14,2,76,424815000,106200.0,1700000.0,1300000.0,20400000.0,200000,2014,Jan,23.0,23.9,83429615,13.49,63097818,38.963745,35.243322
DJ Snake,24100000,8425505919,Music,DJ Snake,252,United States,US,Music,602,77,76,63293000,15800.0,253200.0,189900.0,3000000.0,0,2008,Sep,24.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Diana and Roma ARA,24100000,11041261296,Unknown,Diana and Roma ARA,590,United States,US,Entertainment,379,76,70,66884000,16700.0,267500.0,200700.0,3200000.0,200000,2019,Feb,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,1053,10,76,5439000,1400.0,21800.0,16300.0,261100.0,0,2009,Jul,25.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Spider Slack,24000000,13943030228,Comedy,Spider Slack,901,Brazil,BR,Comedy,252,13,14,761451000,190400.0,3000000.0,2300000.0,36500000.0,1100000,2020,May,18.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Goldmines Movies,24000000,5652938599,Film & Animation,Ti Ti,3,Unknown,Unknown,People,4057888,0,7725,3,0.0,0.01,0.01,0.14,0,2018,Apr,30.0,0.0,0,0.0,0,,
Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,621,78,72,151697000,37900.0,606800.0,455100.0,7300000.0,200000,2012,Jul,4.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
James Charles,23900000,4067878931,Entertainment,James Charles,505,United States,US,Entertainment,1860,79,73,58126000,14500.0,232500.0,174400.0,2800000.0,100000,2015,Dec,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Collins Key,23900000,6582932625,Entertainment,Collins Key,257,United States,US,Entertainment,911,79,73,10853000,2700.0,43400.0,32600.0,520900.0,0,2011,Aug,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Diana and Roma EN,23900000,7213499085,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787,79,73,177769000,44400.0,711100.0,533300.0,8500000.0,300000,2011,Dec,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Venus Entertainment,23800000,5663125358,Entertainment,Venus Entertainment,70,Unknown,Unknown,Entertainment,367929,0,2500,31633,8.0,127.0,95.0,1500.0,0,2016,May,17.0,0.0,0,0.0,0,,
Troom Troom,23800000,10414479943,Howto & Style,Troom Troom,2425,United States,US,Howto,412,80,8,98052000,24500.0,392200.0,294200.0,4700000.0,100000,2015,Sep,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Enrique Iglesias,23800000,17688774915,Music,Enrique Iglesias,443,United States,US,Music,154,80,77,122914000,30700.0,491700.0,368700.0,5900000.0,100000,2007,Apr,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,3590,81,19,8368000,2100.0,33500.0,25100.0,401700.0,0,2011,Nov,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
FaZe Rug,23700000,7451792132,Gaming,FaZeRug,0,Canada,CA,Games,4057944,3885,7268,0,0.0,0.0,0.0,0.0,1,2012,Nov,30.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208,11,74,32817000,8200.0,131300.0,98400.0,1600000.0,0,2014,Sep,22.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
That Little Puff,23700000,20289689389,Pets & Animals,That Little Puff,769,United States,US,Animals,118,81,1,755054000,188800.0,3000000.0,2300000.0,36200000.0,1100000,2020,Aug,29.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
NickyJamTV,23600000,15901824841,Music,NickyJamTV,392,Unknown,Unknown,Music,193,3,78,77927000,19500.0,311700.0,233800.0,3700000.0,100000,2012,Jan,10.0,0.0,0,0.0,0,,
Juan De Dios Pantoja,23600000,2135644776,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529,11,10,46862000,11700.0,187400.0,140600.0,2200000.0,200000,2014,Jun,9.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Logan Paul,23600000,5994002464,Entertainment,Logan Paul,719,United States,US,Entertainment,1057,82,75,10803000,2700.0,43200.0,32400.0,518600.0,0,2015,Aug,29.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Maya and Mary,23600000,6766461070,Entertainment,Maya and Mary,552,United States,US,Entertainment,883,82,75,44542000,11100.0,178200.0,133600.0,2100000.0,400000,2013,Aug,30.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Peppa Pig Espa,23600000,7920637200,Film & Animation,Peppa Pig Espa,1251,United Kingdom,GB,Film,668,12,19,53589000,13400.0,214400.0,160800.0,2600000.0,100000,2014,Jul,28.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,229,13,20,41669000,10400.0,166700.0,125000.0,2000000.0,0,2014,May,27.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235,13,76,59629000,14900.0,238500.0,178900.0,2900000.0,0,2014,Nov,17.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Tilak,23400000,9465863821,Film & Animation,Tilak,6672,India,IN,Film,493,56,20,367347000,91800.0,1500000.0,1100000.0,17600000.0,900000,2020,Oct,10.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Valentina Pontes ofc,23400000,7926899136,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,667,14,77,28285000,7100.0,113100.0,84900.0,1400000.0,0,2014,Apr,14.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Sesame Street,23300000,22471357411,Entertainment,Sesame Street,3657,United States,US,Entertainment,99,83,78,124187000,31000.0,496700.0,372600.0,6000000.0,100000,2006,Jan,16.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Happy Lives,23200000,2634,Science & Technology,Happy Lives,1,United States,US,Entertainment,4053372,84,79,6589000000,0.0,0.0,0.0,0.0,100000,2016,Mar,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Lady Gaga,23200000,15751661213,People & Blogs,Lady Gaga,172,United States,US,Music,198,83,79,143169000,35800.0,572700.0,429500.0,6900000.0,100000,2008,May,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Akshay Nagwadiya,23200000,7966720147,Entertainment,Akshay Nagwadiya,595,Unknown,Unknown,Entertainment,660,0,79,321179000,80300.0,1300000.0,963500.0,15400000.0,900000,2017,Oct,25.0,0.0,0,0.0,0,,
Wave Music Bhojpuri,23100000,12889240875,Music,Wave Music Bhojpuri,22578,India,IN,Music,293,59,81,52678000,13200.0,210700.0,158000.0,2500000.0,100000,2014,Aug,10.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
GMM GRAMMY OFFICIAL,23100000,25579831081,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68,4,81,130233000,32600.0,520900.0,390700.0,6300000.0,0,2010,Nov,8.0,49.3,69625582,0.75,35294600,15.870032,100.992541
TED,23100000,2551113422,People & Blogs,TED,4445,United States,US,Tech,3568,85,4,13246000,3300.0,53000.0,39700.0,635800.0,100000,2006,Dec,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
unknown boy varun,23100000,9299371231,Music,unknown boy varun,456,India,IN,Music,506,58,80,304021000,76000.0,1200000.0,912100.0,14600000.0,700000,2016,Sep,27.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,282,85,81,128448000,32100.0,513800.0,385300.0,6200000.0,700000,2013,Aug,30.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tsuriki Show,23000000,31494513067,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34,1,15,756717000,189200.0,3000000.0,2300000.0,36300000.0,800000,2019,Jul,10.0,70.2,83132799,3.04,64324835,51.165691,10.451526
Technical Guruji,23000000,3378047383,Science & Technology,Technical Guruji,5041,India,IN,Tech,2420,60,5,22262000,5600.0,89000.0,66800.0,1100000.0,0,2015,Oct,19.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
DrossRotzank,23000000,6041264489,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,1040,5,80,35539000,8900.0,142200.0,106600.0,1700000.0,100000,2006,Mar,9.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
White Hill Music,23000000,10939966484,Entertainment,White Hill Music,5718,India,IN,Music,382,60,82,93183000,23300.0,372700.0,279500.0,4500000.0,100000,2014,Mar,23.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Ultra Movie Parlour,22900000,5320485069,Movies,Ultra Movie Parlour,1670,India,IN,Film,1248,61,22,118846000,0.0,0.0,0.0,0.0,300000,2011,May,17.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Alan Becker,22900000,5380073627,Film & Animation,Alan Becker,0,United States,US,Games,4057944,7700,7453,0,0.0,0.0,0.0,0.0,1,2006,Mar,21.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
toyorbabytv,22900000,16298342829,Music,toyorbabytv,1159,Jordan,JO,Music,181,2,83,169056000,42300.0,676200.0,507200.0,8100000.0,300000,2012,Nov,1.0,34.4,10101694,14.72,9213048,30.585164,36.238414
BabyBus - Canciones Infantiles & Videos para Ni,22900000,13206471140,Education,BabyBus - Canciones Infantiles & Videos para,1251,Mexico,MX,Education,278,12,17,136821000,34200.0,547300.0,410500.0,6600000.0,200000,2018,Mar,19.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
KL BRO Biju Rithvik,22800000,17988347989,Entertainment,KL BRO Biju Rithvik,1841,Unknown,Unknown,Entertainment,143,0,79,2033000000,508100.0,8100000.0,6100000.0,97600000.0,3200000,2020,Jul,21.0,0.0,0,0.0,0,,
